Algeria,2012,0
,2012,0
,2011,0
Angola,2010,3
,2011,3
,2012,3
Benin,2010,7
,2011,4
,2012,7
Botswana,2010,20
,2011,16
,2012,13
Burkina Faso,2010,1
,2011,1
,2012,1
Burundi,2010,4
,2011,3
,2012,1
Cabo Verde,2010,100
,2011,100
,2012,100
Cameroon,2010,0
,2011,0
,2012,0
Central African Republic,2010,-
,2011,-
,2012,0
Chad,2010,-
,2011,-
,2012,-
Comoros,2010,0
,2011,5
,2012,-
Congo,2010,0
,2011,0
,2012,0
Cote d'Ivoire,2010,-
,2011,-
,2012,-
Democratic Republic of the Congo,2010,0
,2011,0
,2012,0
Equatorial Guinea,2010,-
,2011,-
,2012,20
Eritrea,2010,3
,2011,5
,2012,5
Ethiopia,2010,46
,2011,35
,2012,9
Gabon,2010,-
,2011,-
,2012,-
Gambia,2010,23
,2011,43
,2012,27
Ghana,2010,4
,2011,4
,2012,8
Guinea,2010,0
,2011,-
,2012,-
Guinea-Bissau,2010,-
,2011,-
,2012,-
Kenya,2010,5
,2011,6
,2012,7
Liberia,2010,11
,2011,20
,2012,23
Madagascar,2010,47
,2011,46
,2012,24
Malawi,2010,14
,2011,2
,2012,12
Mali,2010,3
,2011,5
,2012,5
Mauritania,2010,-
,2011,-
,2012,-
Mozambique,2010,31
,2011,35
,2012,7
Namibia,2010,36
,2011,38
,2012,34
Niger,2010,0
,2011,1
,2012,1
Nigeria,2010,0
,2011,0
,2012,1
Rwanda,2010,15
,2011,14
,2012,9
Sao Tome and Principe,2010,37
,2011,63
,2012,78
Senegal,2010,7
,2011,7
,2012,8
Sierra Leone,2010,5
,2011,15
,2012,17
South Africa,2010,97
,2011,96
,2012,95
Swaziland,2010,-
,2011,-
,2012,-
Togo,2010,0
,2011,0
,2012,0
Uganda,2010,8
,2011,7
,2012,7
United Republic of Tanzania,2010,-
,2011,-
,2012,-
Zambia,2010,45
,2011,56
,2012,31
Zimbabwe,2010,49
,2011,52
,2012,48
Argentina,2010,6
,2011,11
,2012,13
Belize,2010,24
,2011,14
,2012,9
Bolivia (Plurinational State of),2010,7
,2011,9
,2012,6
Brazil,2010,11
,2011,16
,2012,8
Colombia,2010,4
,2011,15
,2012,5
Costa Rica,2010,35
,2011,100
,2012,46
Dominican Republic,2010,12
,2011,18
,2012,14
Ecuador,2010,73
,2011,46
,2012,36
El Salvador,2010,2
,2011,2
,2012,1
"French Guiana, France",2010,21
,2011,-
,2012,-
Guatemala,2010,7
,2011,2
,2012,3
Guyana,2010,0
,2011,7
,2012,7
Haiti,2010,0
,2011,0
,2012,0
Honduras,2010,6
,2011,8
,2012,7
Mexico,2010,30
,2011,19
,2012,12
Nicaragua,2010,100
,2011,100
,2012,100
Panama,2010,51
,2011,14
,2012,13
Paraguay,2010,15
,2011,15
,2012,17
Peru,2010,-
,2011,-
,2012,-
Suriname,2010,-
,2011,-
,2012,-
Venezuela (Bolivarian Republic of),2010,100
,2011,100
,2012,100
Afghanistan,2010,-
,2011,0
,2012,0
Djibouti,2010,-
,2011,-
,2012,-
Iran (Islamic Republic of),2010,5
,2011,2
,2012,11
Pakistan,2010,-
,2011,-
,2012,9
Saudi Arabia,2010,71
,2011,72
,2012,60
Somalia,2010,0
,2011,7
,2012,3
South Sudan3,2010,-
,2011,-
,2012,2
Sudan,2010,8
,2011,10
,2012,13
Yemen,2010,11
,2011,15
,2012,18
Azerbaijan,2010,100
,2011,100
,2012,99
Kyrgyzstan,2010,100
,2011,100
,2012,100
Tajikistan,2010,100
,2011,100
,2012,100
Turkey,2010,100
,2011,100
,2012,0
Uzbekistan,2010,100
,2011,100
,2012,100
Bangladesh,2010,0
,2011,0
,2012,0
Bhutan,2010,100
,2011,100
,2012,100
Democratic People's Republic of Korea,2010,68
,2011,68
,2012,55
India,2010,20
,2011,20
,2012,18
Indonesia,2010,0
,2011,1
,2012,0
Myanmar,2010,0
,2011,0
,2012,0
Nepal,2010,77
,2011,25
,2012,44
Sri Lanka,2010,7
,2011,2
,2012,2
Thailand,2010,11
,2011,8
,2012,8
Timor-Leste,2010,7
,2011,12
,2012,19
Cambodia,2010,0
,2011,0
,2012,0
China,2010,100
,2011,100
,2012,100
Lao People's Democratic Republic,2010,0
,2011,0
,2012,0
Malaysia,2010,43
,2011,36
,2012,56
Papua New Guinea,2010,-
,2011,-
,2012,-
Philippines,2010,16
,2011,15
,2012,22
Republic of Korea,2010,-
,2011,-
,2012,-
Solomon Islands,2010,32
,2011,33
,2012,24
Vanuatu,2010,7
,2011,8
,2012,4
Viet Nam,2010,10
,2011,10
,2012,9
,,
,,
,,
,,
,,
